Reporting Area,MMWR Year,MMWR Week,"Salmonella Paratyphi infection§, Current week","Salmonella Paratyphi infection§, Current week, flag","Salmonella Paratyphi infection§, Previous 52 weeks Max†","Salmonella Paratyphi infection§, Previous 52 weeks Max†, flag","Salmonella Paratyphi infection§, Cum 2019†","Salmonella Paratyphi infection§, Cum 2019†, flag","Salmonella Paratyphi infection§, Cum 2018†","Salmonella Paratyphi infection§, Cum 2018†, flag","Salmonella Typhi infection¶, Current week","Salmonella Typhi infection¶, Current week, flag","Salmonella Typhi infection¶,Previous 52 weeks Max†","Salmonella Typhi infection¶,Previous 52 weeks Max†, flag","Salmonella Typhi infection, Cum 2019†","Salmonella Typhi infection, Cum 2019†, flag","Salmonella Typhi infection, Cum 2018†","Salmonella Typhi infection, Cum 2018†, flag","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection)**, Current week","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection)**, Current week, flag","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection)**, Previous 52 weeks Max†","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection)**, Previous 52 weeks Max†, flag","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection**), Cum 2019†","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection**), Cum 2019†, flag","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection**), Cum 2018†","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection**, Cum 2018†, flag",Location 1,Location 2
CALIFORNIA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"CALIFORNIA
(37.640735, -121.002435)",
MAINE,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MAINE
(45.252223, -68.986647)",
MISSOURI,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,8,,,NC,25,,,NN,"MISSOURI
(38.636168, -92.566292)",
ALABAMA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ALABAMA
(32.839182, -86.631125)",
PUERTO RICO,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"PUERTO RICO
(18.215692, -66.414655)",
NORTHERN MARIANA ISLANDS,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MARYLAND,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,12,,,NC,37,,,NN,"MARYLAND
(39.290443, -76.612333)",
IOWA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"IOWA
(42.46942, -93.815856)",
DELAWARE,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"DELAWARE
(39.008676, -75.574561)",
NEW HAMPSHIRE,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,4,,,NN,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW JERSEY,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEW JERSEY
(40.104655, -74.386686)",
NEVADA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEVADA
(39.491833, -117.070159)",
ARKANSAS,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ARKANSAS
(34.748745, -92.275105)",
COLORADO,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"COLORADO
(38.841772, -106.132562)",
CONNECTICUT,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"CONNECTICUT
(41.544654, -72.651713)",
NEW MEXICO,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,1,,,NC,5,,,NN,"NEW MEXICO
(34.520396, -106.244402)",
INDIANA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"INDIANA
(39.76845, -86.156212)",
NEBRASKA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEBRASKA
(41.640503, -99.367122)",
ALASKA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ALASKA
(64.836661, -147.738891)",
NEW YORK,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEW YORK
(42.826892, -75.544286)",
NORTH DAKOTA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NORTH DAKOTA
(47.475879, -100.121011)",
OREGON,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"OREGON
(44.567912, -120.156945)",
HAWAII,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"HAWAII
(21.30992, -157.858158)",
FLORIDA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"FLORIDA
(28.915325, -81.922409)",
MASSACHUSETTS,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MASSACHUSETTS
(42.268546, -72.085064)",
RHODE ISLAND,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"RHODE ISLAND
(41.707447, -71.522488)",
WYOMING,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WYOMING
(43.23558, -108.110518)",
U.S. VIRGIN ISLANDS,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"VIRGIN ISLANDS
(18.060868, -64.840836)",
GUAM,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"GUAM
(13.3532, 144.653198)",
VIRGINIA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"VIRGINIA
(37.542699, -78.45822)",
KANSAS,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"KANSAS
(38.345528, -98.201847)",
KENTUCKY,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"KENTUCKY
(37.64591, -84.774043)",
WISCONSIN,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WISCONSIN
(44.395526, -89.834513)",
MONTANA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MONTANA
(47.062617, -109.430168)",
TEXAS,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"TEXAS
(31.827233, -99.423022)",
WASHINGTON,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WASHINGTON
(47.517368, -120.467672)",
PENNSYLVANIA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"PENNSYLVANIA
(40.789676, -77.858055)",
OKLAHOMA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"OKLAHOMA
(35.468494, -97.521264)",
MISSISSIPPI,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MISSISSIPPI
(32.738663, -89.537312)",
DISTRICT OF COLUMBIA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NORTH CAROLINA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NORTH CAROLINA
(35.47995, -79.180571)",
MICHIGAN,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MICHIGAN
(44.66399, -84.711206)",
SOUTH DAKOTA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"SOUTH DAKOTA
(44.35371, -100.373709)",
GEORGIA,2019,3,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"GEORGIA
(32.836038, -83.631709)",
US RESIDENTS,2019,4,2,,,NC,3,,,NN,,-,,NC,,-,,NN,45,,,NC,261,,,NN,,US RESIDENTS
NEW ENGLAND,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,1,,,NC,9,,,NN,,NEW ENGLAND
MIDDDLE ATLANTIC,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,MIDDDLE ATLANTIC
NEW YORK CITY,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,NEW YORK CITY
EAST NORTH CENTRAL,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,17,,,NC,78,,,NN,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,5,,,NC,32,,,NN,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,4,1,,,NC,1,,,NN,,-,,NC,,-,,NN,6,,,NC,44,,,NN,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,5,,,NC,18,,,NN,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,3,,,NN,,WEST SOUTH CENTRAL
MOUNTAIN,2019,4,1,,,NC,2,,,NN,,-,,NC,,-,,NN,9,,,NC,69,,,NN,,MOUNTAIN
PACIFIC,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,2,,,NC,8,,,NN,,PACIFIC
US TERRITORIES,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,US TERRITORIES
AMERICAN SAMOA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,AMERICAN SAMOA
NON-US RESIDENTS,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,NON-US RESIDENTS
TOTAL,2019,4,2,,,NC,3,,,NN,,-,,NC,,-,,NN,45,,,NC,261,,,NN,,TOTAL
COLORADO,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"COLORADO
(38.841772, -106.132562)",
CONNECTICUT,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"CONNECTICUT
(41.544654, -72.651713)",
HAWAII,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,2,,,NC,8,,,NN,"HAWAII
(21.30992, -157.858158)",
WISCONSIN,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WISCONSIN
(44.395526, -89.834513)",
WYOMING,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WYOMING
(43.23558, -108.110518)",
UTAH,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"UTAH
(39.359772, -111.584173)",
PENNSYLVANIA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"PENNSYLVANIA
(40.789676, -77.858055)",
DISTRICT OF COLUMBIA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MISSOURI,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,5,,,NC,32,,,NN,"MISSOURI
(38.636168, -92.566292)",
MAINE,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,1,,,NC,3,,,NN,"MAINE
(45.252223, -68.986647)",
KENTUCKY,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"KENTUCKY
(37.64591, -84.774043)",
ALABAMA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,5,,,NC,18,,,NN,"ALABAMA
(32.839182, -86.631125)",
TEXAS,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"TEXAS
(31.827233, -99.423022)",
OREGON,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"OREGON
(44.567912, -120.156945)",
NEW HAMPSHIRE,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,6,,,NN,"NEW HAMPSHIRE
(43.657736, -71.500736)",
GUAM,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"GUAM
(13.3532, 144.653198)",
U.S. VIRGIN ISLANDS,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"VIRGIN ISLANDS
(18.060868, -64.840836)",
FLORIDA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"FLORIDA
(28.915325, -81.922409)",
MINNESOTA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MINNESOTA
(46.357661, -94.793397)",
MASSACHUSETTS,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MASSACHUSETTS
(42.268546, -72.085064)",
MARYLAND,2019,4,1,,,NC,1,,,NN,,-,,NC,,-,,NN,6,,,NC,44,,,NN,"MARYLAND
(39.290443, -76.612333)",
WASHINGTON,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WASHINGTON
(47.517368, -120.467672)",
IDAHO,2019,4,1,,,NC,2,,,NN,,-,,NC,,-,,NN,2,,,NC,11,,,NN,"IDAHO
(43.680635, -114.364237)",
NEW YORK,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEW YORK
(42.826892, -75.544286)",
MICHIGAN,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MICHIGAN
(44.66399, -84.711206)",
MISSISSIPPI,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MISSISSIPPI
(32.738663, -89.537312)",
PUERTO RICO,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"PUERTO RICO
(18.215692, -66.414655)",
NORTHERN MARIANA ISLANDS,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MONTANA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MONTANA
(47.062617, -109.430168)",
CALIFORNIA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"CALIFORNIA
(37.640735, -121.002435)",
ARIZONA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,7,,,NC,49,,,NN,"ARIZONA
(34.869712, -111.760902)",
IOWA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"IOWA
(42.46942, -93.815856)",
DELAWARE,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"DELAWARE
(39.008676, -75.574561)",
NEW JERSEY,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEW JERSEY
(40.104655, -74.386686)",
TENNESSEE,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"TENNESSEE
(35.681402, -85.774444)",
LOUISIANA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,3,,,NN,"LOUISIANA
(31.2931, -92.463284)",
NEBRASKA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEBRASKA
(41.640503, -99.367122)",
WEST VIRGINIA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WEST VIRGINIA
(38.668501, -80.709421)",
GEORGIA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"GEORGIA
(32.836038, -83.631709)",
OKLAHOMA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"OKLAHOMA
(35.468494, -97.521264)",
KANSAS,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"KANSAS
(38.345528, -98.201847)",
NEW MEXICO,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,8,,,NN,"NEW MEXICO
(34.520396, -106.244402)",
NORTH DAKOTA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NORTH DAKOTA
(47.475879, -100.121011)",
INDIANA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"INDIANA
(39.76845, -86.156212)",
OHIO,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,17,,,NC,78,,,NN,"OHIO
(40.056807, -82.405897)",
SOUTH CAROLINA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"SOUTH CAROLINA
(34.009286, -81.037094)",
ILLINOIS,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ILLINOIS
(40.477092, -88.993221)",
NEVADA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,1,,,NN,"NEVADA
(39.491833, -117.070159)",
VERMONT,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"VERMONT
(43.622479, -72.51927)",
VIRGINIA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"VIRGINIA
(37.542699, -78.45822)",
RHODE ISLAND,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"RHODE ISLAND
(41.707447, -71.522488)",
SOUTH DAKOTA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"SOUTH DAKOTA
(44.35371, -100.373709)",
ALASKA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ALASKA
(64.836661, -147.738891)",
NORTH CAROLINA,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NORTH CAROLINA
(35.47995, -79.180571)",
ARKANSAS,2019,4,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ARKANSAS
(34.748745, -92.275105)",
US RESIDENTS,2019,5,,-,,NC,3,,,NN,1,,,NC,2,,,NN,35,,,NC,312,,,NN,,US RESIDENTS
NEW ENGLAND,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,11,,,NN,,NEW ENGLAND
MIDDDLE ATLANTIC,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,MIDDDLE ATLANTIC
NEW YORK CITY,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,NEW YORK CITY
EAST NORTH CENTRAL,2019,5,,-,,NC,,-,,NN,1,,,NC,1,,,NN,18,,,NC,95,,,NN,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,6,,,NC,39,,,NN,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,5,,-,,NC,1,,,NN,,-,,NC,,-,,NN,,-,,NC,44,,,NN,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,18,,,NN,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,3,,,NN,,WEST SOUTH CENTRAL
MOUNTAIN,2019,5,,-,,NC,2,,,NN,,-,,NC,1,,,NN,11,,,NC,92,,,NN,,MOUNTAIN
PACIFIC,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,10,,,NN,,PACIFIC
US TERRITORIES,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,US TERRITORIES
AMERICAN SAMOA,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,AMERICAN SAMOA
NON-US RESIDENTS,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,NON-US RESIDENTS
TOTAL,2019,5,,-,,NC,3,,,NN,1,,,NC,2,,,NN,35,,,NC,312,,,NN,,TOTAL
DISTRICT OF COLUMBIA,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OREGON,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"OREGON
(44.567912, -120.156945)",
WYOMING,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WYOMING
(43.23558, -108.110518)",
TEXAS,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"TEXAS
(31.827233, -99.423022)",
COLORADO,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"COLORADO
(38.841772, -106.132562)",
WASHINGTON,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WASHINGTON
(47.517368, -120.467672)",
RHODE ISLAND,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"RHODE ISLAND
(41.707447, -71.522488)",
MARYLAND,2019,5,,-,,NC,1,,,NN,,-,,NC,,-,,NN,,-,,NC,44,,,NN,"MARYLAND
(39.290443, -76.612333)",
NORTHERN MARIANA ISLANDS,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MISSOURI,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,6,,,NC,39,,,NN,"MISSOURI
(38.636168, -92.566292)",
TENNESSEE,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"TENNESSEE
(35.681402, -85.774444)",
CONNECTICUT,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"CONNECTICUT
(41.544654, -72.651713)",
KANSAS,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"KANSAS
(38.345528, -98.201847)",
FLORIDA,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"FLORIDA
(28.915325, -81.922409)",
MICHIGAN,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MICHIGAN
(44.66399, -84.711206)",
ALABAMA,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,18,,,NN,"ALABAMA
(32.839182, -86.631125)",
GEORGIA,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"GEORGIA
(32.836038, -83.631709)",
NEW YORK,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEW YORK
(42.826892, -75.544286)",
IDAHO,2019,5,,-,,NC,2,,,NN,,-,,NC,,-,,NN,,-,,NC,11,,,NN,"IDAHO
(43.680635, -114.364237)",
GUAM,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"GUAM
(13.3532, 144.653198)",
HAWAII,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,10,,,NN,"HAWAII
(21.30992, -157.858158)",
OKLAHOMA,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"OKLAHOMA
(35.468494, -97.521264)",
WEST VIRGINIA,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WEST VIRGINIA
(38.668501, -80.709421)",
SOUTH CAROLINA,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"SOUTH CAROLINA
(34.009286, -81.037094)",
NORTH CAROLINA,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NORTH CAROLINA
(35.47995, -79.180571)",
MINNESOTA,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MINNESOTA
(46.357661, -94.793397)",
NEW JERSEY,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEW JERSEY
(40.104655, -74.386686)",
NEW HAMPSHIRE,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,6,,,NN,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ILLINOIS,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ILLINOIS
(40.477092, -88.993221)",
MAINE,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,5,,,NN,"MAINE
(45.252223, -68.986647)",
OHIO,2019,5,,-,,NC,,-,,NN,1,,,NC,1,,,NN,18,,,NC,95,,,NN,"OHIO
(40.056807, -82.405897)",
ARIZONA,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,11,,,NC,69,,,NN,"ARIZONA
(34.869712, -111.760902)",
PUERTO RICO,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"PUERTO RICO
(18.215692, -66.414655)",
ALASKA,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ALASKA
(64.836661, -147.738891)",
IOWA,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"IOWA
(42.46942, -93.815856)",
PENNSYLVANIA,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"PENNSYLVANIA
(40.789676, -77.858055)",
INDIANA,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"INDIANA
(39.76845, -86.156212)",
U.S. VIRGIN ISLANDS,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"VIRGIN ISLANDS
(18.060868, -64.840836)",
LOUISIANA,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,3,,,NN,"LOUISIANA
(31.2931, -92.463284)",
MISSISSIPPI,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MISSISSIPPI
(32.738663, -89.537312)",
NEBRASKA,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEBRASKA
(41.640503, -99.367122)",
